unique_value                                                 frequencies         
--------------------------------------------------------------------------------
Bodily motion or position of injured, ill worker             25973               
Health care patient or resident of health care facility      6089                
Viruses                                                      5513                
Floor of building                                            4648                
Person -- other than injured or ill worker, n.e.c.           4540                
Noise                                                        4263                
Boxes, crates, cartons                                       4139                
Knives                                                       3332                
Floors, walkways, ground surfaces, uns.                      3140                
Ground                                                       3104                
Bodily conditions of injured, ill worker                     3058                
Unknown                                                      2501                
Parking lots                                                 2178                
Doors                                                        1947                
Chips, particles, splinters, uns.                            1825                
Needles and syringes                                         1786                
Metal chips, particles                                       1701                
Health care and orthopedic equipment, n.e.c.                 1529                
Cart, dolly, handtruck                                       1509                
Floors, walkways, ground surfaces, n.e.c.                    1437                
Bags, sacks, totes                                           1323                
Student                                                      1134                
Parts and materials, n.e.c.                                  1076                
Parts and materials, uns.                                    1058                
Sidewalks, paths, outdoor walkways, n.e.c.                   1053                
Skids, pallets                                               966                 
Street, road                                                 917                 
Tanks, bins, vats                                            886                 
Semitrailer, tractor trailer, trailer truck                  834                 
Truck, uns.                                                  822                 
Vehicle and mobile equipment parts, n.e.c.                   789                 
Bodily fluids or substances of person                        779                 
Nails, brads, tacks                                          752                 
Stairs, steps -- indoors                                     679                 
Dogs                                                         671                 
Bars, rods, reinforcing bar (rebar)                          669                 
Buckets, baskets, pails                                      649                 
Hammers                                                      636                 
Tables, worktables                                           620                 
Other floors, walkways, ground surfaces, uns.                595                 
Trailers                                                     581                 
Pots, pans, trays                                            574                 
Automobile                                                   566                 
Bus                                                          557                 
Vehicle, uns.                                                551                 
Stairs, steps -- outdoors                                    529                 
Structural elements, n.e.c.                                  499                 
Shovels                                                      498                 
Other sources, n.e.c.                                        484                 
Walls                                                        475                 
Wrenches                                                     470                 
Beds, bedding, mattresses                                    468                 
Ramps, runways, loading docks                                467                 
Water                                                        460                 
Vehicles, n.e.c.                                             448                 
Swine                                                        442                 
Cases, cabinets, racks, shelves, n.e.c.                      442                 
Plates, metal panels                                         433                 
Plywood, wood paneling; particle, chip, flake board          433                 
Chairs                                                       414                 
Wheelchairs                                                  412                 
Hoses                                                        409                 
Stairs, steps, uns.                                          400                 
Reels, rolls                                                 392                 
Beams                                                        388                 
Sheet metal                                                  374                 
Food slicers                                                 369                 
Truck, n.e.c.                                                365                 
